feature,importance
family_history_diabetes,0.5450943887233735
age_family_history,0.2156278371810913
age_bmi,0.041086523234844206
physical_activity_minutes_per_week,0.03331603892147541
cardio_risk_score,0.030693283677101134
age,0.012069620192050934
triglycerides,0.010394466668367386
cholesterol_ratio,0.007067743223160505
cardiovascular_history,0.006614041328430176
ldl_cholesterol,0.0065796862356364725
diet_score,0.006130450591444969
heart_rate,0.005853193160146475
systolic_bp,0.005575100891292095
bmi,0.005377105344086886
cholesterol_total,0.005223827343434096
waist_to_hip_ratio,0.005076510179787874
non_hdl_cholesterol,0.005075760185718536
hdl_cholesterol,0.004923545010387898
screen_time_hours_per_day,0.004773814417421818
hypertension_history,0.004714044835418462
smoking_status,0.004508613236248493
employment_status,0.004478750936686993
income_level,0.004433653596788645
diastolic_bp,0.0044244199991226195
education_level,0.00441777752712369
alcohol_consumption_per_week,0.0043542242608964445
sleep_hours_per_day,0.00422509741038084
ethnicity,0.004017888195812702
gender,0.0038725861348211767
