feature,importance
family_history_diabetes,0.42514656697000774
age_family_history,0.29749942251614164
age_bmi,0.0676577729838235
cardio_risk_score,0.04984858791743006
physical_activity_minutes_per_week,0.03448432258197239
age,0.016584393568336964
triglycerides,0.011480279133788176
cholesterol_ratio,0.009940920264593192
diet_score,0.007053333667239973
ldl_cholesterol,0.006862076398517404
cardiovascular_history,0.0055855088867247105
heart_rate,0.0055520860478281975
systolic_bp,0.004763836240661996
non_hdl_cholesterol,0.004692450165748596
bmi,0.004492718826181122
cholesterol_total,0.004443405063024589
waist_to_hip_ratio,0.00424446611266051
screen_time_hours_per_day,0.00415330779339586
hdl_cholesterol,0.0040979702358267135
hypertension_history,0.0035067198665014337
alcohol_consumption_per_week,0.0033490206447563003
diastolic_bp,0.0032996113877743483
smoking_status,0.003262495222900595
income_level,0.0032614257652312517
education_level,0.0031982795002737214
employment_status,0.003032763920990484
sleep_hours_per_day,0.002993237027632339
ethnicity,0.00281063696768667
gender,0.0027023990572031054
