feature,importance
physical_activity_minutes_per_week,1180
triglycerides,353
age,295
bmi,152
heart_rate,120
ldl_cholesterol,111
cholesterol_total,110
diet_score,107
systolic_bp,98
hdl_cholesterol,94
waist_to_hip_ratio,73
family_history_diabetes,71
screen_time_hours_per_day,70
diastolic_bp,48
sleep_hours_per_day,24
alcohol_consumption_per_week,19
cardiovascular_history,13
income_level_Low,6
employment_status_Retired,6
education_level_Graduate,6
income_level_Middle,5
ethnicity_Hispanic,5
ethnicity_Other,4
education_level_No formal,4
smoking_status_Never,3
education_level_Postgraduate,3
ethnicity_Asian,3
hypertension_history,3
education_level_Highschool,2
ethnicity_White,2
income_level_Upper-Middle,2
ethnicity_Black,1
income_level_High,1
gender_Other,1
income_level_Lower-Middle,1
smoking_status_Current,1
employment_status_Employed,1
employment_status_Student,1
employment_status_Unemployed,1
gender_Male,0
smoking_status_Former,0
gender_Female,0
